
ádfasdf	ádfasdfasdf
mum	mom) n. /mʌm/ mẹ
murder	/'mə:də/ tội giết người, tội ám sát; giết người, ám sát
muscle	 cơ, bắp thịt
museum	bảo tàng
music	 nhạc, âm nhạc
musical	(thuộc) nhạc, âm nhạc; du dương, êm ái
musician	nhạc sĩ
must	/mʌst/ phải, cần, nên làm
my	của tôi
myself	tự tôi, chính tôi
mysterious	 thần bí, huyền bí, khó hiểu
mystery	điều huyền bí, điều thần bí
nail	móng (tay, chân) móng vuốt
naked	trần, khỏa thân, trơ trụi
name	/neim/ tên; đặt tên, gọi tên
narrow	hẹp, chật hẹp
nation	dân tộc, quốc gia
national	 (thuộc) quốc gia, dân tộc
natural	 (thuộc) tự nhiên, thiên nhiên
naturally	vốn, tự nhiên, đương nhiên
nature	tự nhiên, thiên nhiên
navy	hải quân
near	prep. /niə/ gần, cận; ở gần
nearby	/´niə¸bai/ gần
nearly	gần, sắp, suýt
neat	/ni:t/ sạch, ngăn nắp; rành mạch
neatly	gọn gàng, ngăn nắp
necessarily	tất yếu, nhất thiết
necessary	cần, cần thiết, thiết yếu
neck	cổ
need	v., n. /ni:d/  cần, đòi hỏi; sự cần
needle	 cái kim, mũi nhọn
negative	phủ định
neighbour	neighbor) n. /'neibə/ hàng xóm
neighbourhood	neighborhood) n. /´neibəhud/ hàng xóm, làng giềng
neither	adv. /'naiðə/ không này mà cũng không kia
nephew	cháu trai (con anh, chị, em)
nerve	khí lực, thần kinh, can đảm
nervous	hoảng sợ, dễ bị kích thích, hay lo lắng
nervously	bồn chồn, lo lắng
nest	/nest/ tổ, ổ; làm tổ
net	lưới, mạng
network	 mạng lưới, hệ thống
never	không bao giờ, không khi nào
nevertheless	tuy nhiên, tuy thế mà
new	mới, mới mẻ, mới lạ
newly	mới
news	tin, tin tức
newspaper	báo
next	n. /nekst/ sát, gần, bên cạnh; lần sau, tiếp nữa
next	gần
nice	đẹp, thú vị, dễ chịu
nicely	thú vị, dễ chịu
niece	cháu gái
night	đêm, tối
no	/nou/  không
nobody	one) pron. /'noubədi/ không ai, không người nào
noise	tiếng ồn, sự huyên náo
noisily	ồn ào, huyên náo
noisy	ồn ào, huyên náo
non-	prefix
none	không ai, không người, vật gì
nonsense	lời nói vô lý, vô nghĩa
nor	/no:/ cũng không
normal	/'nɔ:məl/ thường, bình thường; tình trạng bình thường
normally	thông thường, như thường lệ
north	adv. /nɔ:θ/ phía bắc, phương bắc
northern	Bắc
nose	mũi
not	không
note	/nout/ lời ghi, lời ghi chép; ghi chú, ghi chép
nothing	không gì, không cái gì
notice	/'nәƱtis/ thông báo, yết thị; chú ý, để ý, nhận biết
noticeable	đáng chú ý, đáng để ý
novel	 tiểu thuyết, truyện
november	Nov.) /nou´vembə/ tháng 11
now	bây giờ, hiện giờ, hiện nay
nowhere	không nơi nào, không ở đâu
nuclear	(thuộc) hạt nhân
number	no.) n. /´nʌmbə/ số
nurse	y tá
nut	quả hạch; đầu
obey	 vâng lời, tuân theo, tuân lệnh
object	/n. ˈɒbdʒɪkt, ˈɒbdʒɛkt ; v. əbˈdʒɛkt/ vật, vật thể; phản đối, chống lại
objective	/əb´dʒektiv/ mục tiêu, mục đích; (thuộc) mục tiêu, khách quan
observation	 sự quan sát, sự theo dõi
observe	 quan sát, theo dõi
obtain	đạt được, giành được
obvious	rõ ràng, rành mạch, hiển nhiên
obviously	một cách rõ ràng, có thể thấy được
occasion	 dịp, cơ hội
occasionally	thỉnh thoảng, đôi khi
occupied	đang sử dụng, đầy (người)
occupy	giữ, chiếm lĩnh, chiếm giữ
occur	 xảy ra, xảy đến, xuất hiện
ocean	 đại dương
october	Oct.) /ɔk´toubə/ tháng 10
odd	kỳ quặc, kỳ cục, lẻ (số)
oddly	kỳ quặc, kỳ cục, lẻ (số)
of-course	nhiên
of-prep.	/əv/ của
off	/ɔ:f/ tắt; khỏi, cách, rời
offence	offense) n. /ə'fens/  sự vi phạm, sự phạm tội
offend	xúc phạm, làm bực mình, làm khó chịu
offensive	sự tấn công, cuộc tấn công
offer	/´ɔfə/ biếu, tặng, cho; sự trả giá
office	cơ quan, văn phòng, bộ
officer	viên chức, cảnh sát, sĩ quan
official	/ə'fiʃəl/ (thuộc) chính quyền, văn phòng; viên chức, công chức
officially	một cách trịnh trọng, một cách chính thức
often	thường, hay, luôn
oh	chao, ôi chao, chà, này..
oil	dầu
ok	đồng ý, tán thành
old	 già
old-fashioned	thời
on-behalf-of-sb	cho ai, nhân danh ai
on-board	thủy
on-prep.,	 trên, ở trên; tiếp tục, tiếp diễn
on-purpose	cố ý, có chủ tâm
on-sb’s-behalf	in behalf of sb, in sb’s behalf) nhân danh cá nhân ai
once	/wʌns/  một lần;  khi mà, ngay khi, một khi
one	pron. /wʌn/  một; một người, một vật nào đó
onion	củ hành
only	/'ounli/ chỉ có 1, duy nhất; chỉ, mới
onto	về phía trên, lên trên
open	/'oupən/  mở, ngỏ; mở, bắt đầu, khai mạc
opening	khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
openly	công khai, thẳng thắn
operate	hoạt động, điều khiển
operation	sự hoạt động, quá trình hoạt động
opinion	ý kiến, quan điểm
opponent	địch thủ, đối thủ, kẻ thù
opportunity	, ˌɒpərˈtyunɪti/ cơ hội, thời cơ
oppose	đối kháng, đối chọi, đối lập; chống đối, phản đối
opposed-to	lại, phản đối
opposing	tính đối kháng, đối chọi
opposite	n., prep. /'ɔpəzit/ đối nhau, ngược nhau; trước mặt, đối diện; điều trái ngược
opposition	sự đối lập, sự đối nhau; sự chống lại, sự phản đối; phe đối lập
option	sự lựa chọn
orange	/ɒrɪndʒ/ quả cam; có màu da cam
order	/'ɔ:də/ thứ, bậc; ra lệnh
ordinary	 thường, thông thường
organ	đàn óoc gan
organization	-isation) n. /,ɔ:gənai'zeiʃn/  tổ chức, cơ quan; sự tổ chức
organize	-ise) v. /´ɔ:gə¸naiz/ tổ chức, thiết lập
organized	có trật tự, ngăn nắp, được sắp xếp, được tổ chức
origin	gốc, nguồn gốc, căn nguyên
original	/ə'ridʒənl/ (thuộc) gốc, nguồn gốc, căn nguyên; nguyên bản
originally	một cách sáng tạo, mới mẻ, độc đáo; khởi đầu, đầu tiên
other	/ˈʌðər/  khác
otherwise	khác, cách khác; nếu không thì...; mặt khác
ought	v. /ɔ:t/ phải, nên, hẳn là
our	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ours	của chúng ta, thuộc chúng ta, của chúng tôi, của chúng mình
ourselves	bản thân chúng ta, bản thân chúng tôi, bản thân chúng mình; tự chúng mình
out-(of)	/aut/ ngoài, ở ngoài, ra ngoài
outdoor	 ngoài trời, ở ngoài
outdoors	ở ngoài trời, ở ngoài nhà
outer	ở phía ngoài, ở xa hơn
outline	/´aut¸lain/ vẽ, phác tảo; đường nét, hình dáng, nét ngoài
output	sự sản xuất; sản phẩm, sản lượng
outside	prep., adv. /'aut'said/  bề ngoài, bên ngoài; ở ngoài; ngoài
outstanding	nổi bật, đáng chú ý; còn tồn lại
oven	lò (nướng)
over	/'ouvə/ bên trên, vượt qua;  lên, lên trên
overall	/adv. ˈoʊvərˈɔl ; adj. ˈoʊvərˌɔl/  toàn bộ, toàn thể; tất cả, bao gồm
overcome	thắng, chiến thắng, khắc phục, đánh bại (khó khăn)
owe	nợ, hàm ơn; có được (cái gì)
own	v. /oun/ của chính mình, tự mình; nhận, nhìn nhận
owner	người chủ, chủ nhân
o’clock	đúng giờ
p.m.	P.M.) abbr. /pip'emз/ quá trưa, chiều, tối
pace	bước chân, bước
pack	/pæk/ gói, bọc; bó, gói
package	/pæk.ɪdʒ/ gói đồ, bưu kiện; đóng gói, đóng kiện
packaging	bao bì
packet	gói nhỏ
page	p) /peidʒ/  trang (sách)
pain	 sự đau đớn, sự đau khổ
painful	đau đớn, đau khổ
paint	/peint/ sơn, vôi màu; sơn, quét sơn
painter	họa sĩ
painting	 sự sơn; bức họa, bức tranh
pair	đôi, cặp
palace	cung điện, lâu đài
pale	taí, nhợt
pan	- pɑ:n/ xoong, chảo
panel	ván ô (cửa, tường), pa nô
pants	quần lót, đùi
paper	giấy
parallel	 song song, tương đương
parent	cha, mẹ
park	/pa:k/ công viên, vườn hoa; khoanh vùng thành công viên
parliament	 nghi viện, quốc hội
part	phần, bộ phận
particular	riêng biệt, cá biệt
particularly	một cách đặc biệt, cá biệt, riêng biệt
partly	đến chừng mực nào đó, phần nào đó
partner	đối tác, cộng sự
partnership	sự chung phần, sự cộng tác
party	 tiệc, buổi liên hoan; đảng
pass	qua, vượt qua, ngang qua
passage	sự đi qua, sự trôi qua; hành lang
passenger	hành khách
passing	/´pa:siη/ sự đi qua, sự trôi qua; thoáng qua, ngắn ngủi
passport	hộ chiếu
past	prep., adv. /pɑ:st/ quá khứ, dĩ vãng; quá, qua
path	đường mòn; hướng đi
patience	tính kiên nhẫn, nhẫn nại, kiên trì, sự chịu đựng
patient	/'peiʃənt/  bệnh nhân; kiên nhẫn, nhẫn nại, bền chí
pattern	mẫu, khuôn mẫu
pause	/pɔ:z/ tạm nghỉ, dừng; sự tạm nghỉ, sự tạm ngừng
pay	chú ý tới
pay	/pei/ trả, thanh toán, nộp; tiền lương
payment	sự trả tiền, số tiền trả, tiền bồi thường
peace	hòa bình, sự hòa thuận
peaceful	hòa bình, thái bình, yên tĩnh
peak	lưỡi trai; đỉnh, chóp
pen	bút
pence	đồng xu
pencil	bút chì
penny	xu
penny	p) /´peni/ số tiền
pension	tiền trợ cấp, lương hưu
people	dân tộc, dòng giống; người
pepper	hạt tiêu, cây ớt
per	cho mỗi
per	usually percent) n., adj., adv. phần trăm
perfect	pə'fekt/ hoàn hảo
perfectly	một cách hoàn hảo
perform	biểu diễn; làm, thực hiện
performance	sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer	người biểu diễn, người trình diễn
perhaps	có thể, có lẽ
period	kỳ, thời kỳ, thời gian; thời đại
permanent	lâu dài, vĩnh cửu, thường xuyên
permanently	cách thường xuyên, vĩnh cửu
permission	sự cho phép, giấy phép
permit	 cho phép, cho cơ hội
person	con người, người
personal	cá nhân, tư, riêng tư
personality	 nhân cách, tính cách; nhân phẩm, cá tính
personally	đích thân, bản thân, về phần rôi, đối với tôi
persuade	thuyết phục
pet	cơn nóng giận; vật cưng, người được yêu thích
petrol	/ˈpɛtrəl/ xăng dầu
phase	tuần trăng; giai đoạn, thời kỳ
philosophy	 triết học, triết lý
photocopy	/´foutə¸kɔpi/ bản sao chụp; sao chụp
photograph	(also photo n.) /´foutə¸gra:f/ ảnh, bức ảnh; chụp ảnh
photographer	thợ chụp ảnh, nhà nhiếp ảnh
photography	thuật chụp ảnh, nghề nhiếp ảnh
phrase	câu; thành ngữ, cụm từ
physical	vật chất; (thuộc) cơ thể, thân thể
physically	về thân thể, theo luật tự nhiên
physics	vật lý học
piano	đàn pianô, dương cầm
pick	cuốc (đất); đào, khoét (lỗ)
pick	cuốc, vỡ, xé
picture	bức vẽ, bức họa
piece	 mảnh, mẩu; đồng tiền
pig	 con lợn
pile	/paɪl/ cọc, chồng, đống, pin; đóng cọc, chất chồng
pill	viên thuốc
pilot	phi công
pin	/pin/ đinh ghim; ghim., kẹp
pink	/piηk/ màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
pint	pt) /paint/ Panh (đơn vị (đo lường) ở Anh bằng 0, 58 lít; ở Mỹ bằng 0, 473 lít); panh, lít (bia, sữa) a pint of beer + một panh bia
pint	panh (= 0, 58 lít (E);=0, 473 lít (A));
pipe	ống dẫn (khí, nước...)
pitch	sân (chơi các môn thể thao); đầu hắc ín
pity	lòng thương hại,  điều đáng tiếc, đáng thương
place	/pleis/ nơi, địa điểm; quảng trường
plain	ngay thẳng, đơn giản, chất phác
plan	/plæn/ bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
plane	mặt phẳng, mặt bằng
planet	hành tinh
planning	sự lập kế hoạch, sự quy hoạch
plant	/plænt , plɑnt/ thực vật, sự mọc lên; trồng, gieo
plastic	/'plæstik/ chất dẻo, làm bằng chất dẻo
plate	bản, tấm kim loại
platform	nền, bục, bệ; thềm, sân ga
play	/plei/ chơi, đánh; sự vui chơi, trò chơi, trận đấu
player	người chơi 1 trò chơi nào đó (nhạc cụ)
pleasant	vui vẻ, dễ thương; dịu dàng, thân mật
pleasantly	vui vẻ, dễ thương; thân mật
please	/pli:z/ làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleased	hài lòng
pleasing	mang lại niềm vui thích; dễ chịu
pleasure	niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plenty	n., det. /'plenti/ nhiều (s.k.lượng); chỉ sự thừa; sự sung túc, sự p.phú
plot	/plɔt/ mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plug	nút (thùng, chậu, bồn...)
plus	adj., conj. /plʌs/ cộng với (số, người...); dấu cộng; cộng, thêm vào
pocket	túi (quần áo, trong xe hơi), túi tiền
poem	bài thơ
poetry	thi ca; chất thơ
point	point mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)
pointed	nhọn, có đầu nhọn
poison	/ˈpɔɪzən/ chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
pole	người Ba Lan; cực (nam châm, trái đất...)
police	cảnh sát, công an
policy	si/ chính sách
polish	/'pouliʃ/  nước bóng, nước láng; đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politely	lễ phép, lịch sự
political	về chính trị, về chính phủ, có tính chính trị
politically	về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
politician	nhà chính trị, chính khách
politics	họat động chính trị, đời sống chính trị, quan điểm chính trị
pollution	sự ô nhiễm
pool	vũng nước; bể bơi, hồ bơi
poor	nghèo
pop	/pɒp; NAmE pɑːp/ tiếp bốp, phong cách dân gian hiện đại; nổ bốp
popular	có tính đại chúng, (thuộc) nhân dân; được nhiều người ưa chuộng
population	dân cư, dân số; mật độ dân số
port	cảng
pose	/pouz/ đưa ra, đề ra, đặt; sự đặt, đề ra
position	vị trí, chỗ
positive	 xác thực, rõ ràng, tích cực, lạc quan
possess	có, chiếm hữu
possession	quyền sở hữu, vật sở hữu
possibility	khă năng, triển vọng
possible	 có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post	/poʊst/ thư, bưu kiện; gửi thư
post-office	 bưu điện
pot	can, bình, lọ...
potato	khoai tây
potential	/pəˈtɛnʃəl/  tiềm năng; khả năng, tiềm lực
potentially	tiềm năng, tiềm ẩn
pound	pao - đơn vị đo lường
pour	rót, đổ, giội
powder	bột, bụi
power	khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful	hùng mạnh, hùng cường
practical	thực hành; thực tế
practically	về mặt thực hành; thực tế
practice	NAmE), v. (NAmE) /´præktis/ thực hành, thực tiễn
practise	/´præktis/ thực hành, tập luyện
praise	/preiz/ sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayer	sự cầu nguyện
precise	rõ ràng, chính xác; tỉ mỉ, kỹ tính
precisely	đúng, chính xác, cần thận
predict	báo trước, tiên đoán, dự báo
prefer	 thích hơn
preference	sự thích hơn, sự ưa hơn; cái được ưa thích hơn
pregnant	mang thai; giàu trí tưởng tượng, sáng tạo
premises	biệt thự
preparation	sự sửa soạn, sự chuẩn bị
prepare	sửa soạn, chuẩn bị
prepared	đã được chuẩn bị
presence	sự hiện diện, sự có mặt; người, vât hiện diện
present	v. /(v)pri'zent/ and /(n)'prezәnt/ có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
preserve	bảo quản, giữ gìn
president	hiệu trưởng, chủ tịnh, tổng thống
press	/pres/ sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	sức ép, áp lực, áp suất
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretty	/'priti/ khá, vừa phải; xinh, xinh xắn;, đẹp
prevent	ngăn cản, ngăn chặn, ngăn ngừa
previous	vội vàng, hấp tấp; trước (vd. ngày hôm trước), ưu tiên
previously	trước, trước đây
price	giá
pride	sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
prime-minister	thủ tướng
prince	hoành tử
princess	công chúa
principle	cơ bản, chủ yếu; nguyên lý, nguyên tắc
print	/print/ in, xuất bản; sự in ra
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
prior	trước, ưu tiên
priority	sự ưu tế, quyền ưu tiên
prison	nhà tù
prisoner	tù nhân
private	 cá nhân, riêng
privately	riêng tư, cá nhân
prize	giải, giải thưởng
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo duổi, tiếp diễn
process	/'prouses/ quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce	sản xuất, chế tạo
producer	nhà sản xuất
product	sản phẩm
production	sự sản xuất, chế tạo
profession	nghề, nghề nghiệp
professional	/prə'feʃənl/ (thuộc) nghề, nghề nghiệp; chuyên nghiệp
professor	 giáo sư, giảng viên
profit	thuận lợi, lợi ích, lợi nhuận
program	/´prougræm/ chương trình; lên chương trình
programme	/´prougræm/ chương trình
progress	/'prougres/ sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project	/n. ˈprɒdʒɛkt , ˈprɒdʒɪkt ; v. prəˈdʒɛkt/ đề án, dự án, kế hoạch; dự kiến, kế hoạch
promise	hứa, lời hứa
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
prompt	/prɒmpt/ mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly	mau lẹ, ngay lập tức
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng, chứng cớ, bằng chứng; sự kiểm chứng
proper	đúng, thích đáng, thích hợp
properly	một cách đúng đắn, một cách thích đáng
property	tài sản, của cải; đất đai, nhà cửa, bất động sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuất, đưa ra
prospect	viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect	bảo vệ, che chở
protection	sự bảo vệ, sự che chở
protest	/ˈprəʊ.test/ sự phản đối, sự phản kháng; phản đối, phản kháng
proud	tự hào, kiêu hãnh
proudly	một cách tự hào, một cách hãnh diện
prove	chứng tỏ, chứng minh
provide	chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided-(also	/prə´vaidid/ với điều kiện là, miễn là
pub	publicyhouse quán rượu, tiệm rượu
public	/'pʌblik/ chung, công cộng; công chúng, nhân dân
publication	sự công bố; sự xuất bản
publicity	/ sự công khai, sự quảng cáo
publicly	công khai, công cộng
publish	công bố, ban bố; xuất bản
publishing	công việc, nghề xuất bản
pull	/pul/ lôi, kéo, giật; sự lôi kéo, sự giật
punch	/pʌntʃ/ đấm, thụi; quả đấm, cú thụi
punish	phạt, trừng phạt
punishment	 sự trừng phạt, sự trừng trị
pupil	BrE) /ˈpju:pl/ học sinh
purchase	/'pə:t∫əs/ sự mua, sự tậu; mua, sắm, tậu
pure	nguyên chất, tinh khiết, trong lành
purely	hoàn toàn, chỉ là
purple	/ˈpɜrpəl/ tía, có màu tía;  màu tía
purpose	mục đích, ý định
pursue	đuổi theo, đuổi bắt
push	/puʃ/ xô đẩy; sự xô đẩy
put	đặt, để, cho vào
put	mặc (áo), đội (mũ), đi (giày)
put	tắt, dập tắt
qualification	phẩm chất, năng lực; khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiện
quality	chất lượng, phẩm chất
quantity	lượng, số lượng
quarter	1/4, 15 phút
queen	 nữ hoàng
question	/ˈkwɛstʃən/  câu hỏi; hỏi, chất vấn
quick	nhanh
quickly	 nhanh
quiet	lặng, yên lặng, yên tĩnh
quietly	lặng, yên lặng, yên tĩnh
quit	thoát, thoát ra
quite	hoàn toàn, hầu hết
quote	trích dẫn
race	/reis/ loài, chủng, giống; cuộc đua; đua
racing	cuộc đua
radio	sóng vô tuyến, radio
rail	đường ray
railway	railroad) n. /'reilwei/ đường sắt
rain	/rein/  mưa, cơn mưa; mưa
raise	nâng lên, đưa lên, ngẩng lên
range	 dãy, hàng, loại; phạm vi, trình độ
rank	/ræɳk/ hàng, dãy; sắp xếp thành hàng, dãy
rapid	nhanh, nhanh chóng
rapidly	'ræpidli / nhanh, nhanh chóng
rare	 hiếm, ít
rarely	hiếm khi, ít khi
rate	/reit/ tỷ lệ, tốc độ
rather	thà.. còn hơn, thích... hơn
rather	là
raw	sống (# chín), thô, còn nguyên chất
reach	đến, đi đến, tới
react	tác động trở lại, phản ứng
reaction	 sự phản ứng; sự phản tác dụng
read	đọc
reader	người đọc, độc giả
reading	sự đọc
ready	sẵn sàng
real	thực, thực tế, có thật
realistic	BrE also riə-/ hiện thực
reality	sự thật, thực tế, thực tại
realize	-ise) v. /'riәlaiz/ thực hiện, thực hành
really	thực, thực ra, thực sự
rear	/rɪər/ phía sau; ở đằng sau, ở đằng sau
reason	lý do, lý lẽ
reasonable	có lý, hợp lý
reasonably	hợp lý
recall	gọi về, triệu hồi; nhặc lại, gợi lại
receipt	công thức; đơn thuốc
receive	nhận, lĩnh, thu
recent	gần đây, mới đây
recently	gần đây, mới đây
reception	sự nhận, sự tiếp nhận, sự đón tiếp
reckon	tính, đếm
recognition	sự công nhận, sự thừa nhận
recognize	-ise) v. /'rekəgnaiz/  nhận ra, nhận diện; công nhận, thừa nhận
recommend	giới thiệu, tiến cử; đề nghị, khuyên bảo
record	/´rekɔ:d/ bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
recording	sự ghi, sự thu âm
recover	lấy lại, giành lại
red	/red/ đỏ; màu đỏ
reduce	giảm, giảm bớt
reduction	sự giảm giá, sự hạ giá
refer	xem, tham khảo; ám chỉ, nhắc đến
reference	sự tham khảo, hỏi ýe kiến
reflect	phản chiếu, phản hồi, phản ánh
reform	/ri´fɔ:m/ cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refrigerator	tủ lạnh
refusal	sự từ chối, sự khước từ
refuse	từ chối, khước từ
regard	/ri'gɑ:d/ nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý (lời chúc tụng cuối thư)
regarding	về, về việc, đối với (vấn đề...)
region	vùng, miền
regional	vùng, địa phương
register	/'redʤistə/  đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regret	/ri'gret/ đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regular	thường xuyên, đều đặn
regularly	đều đặn, thường xuyên
regulation	sự điều chỉnh, điều lệ, quy tắc
reject	không chấp nhận, loại bỏ, bác bỏ
relate	kể lại, thuật lại; liên hệ, liên quan
related	/ri'leitid/ có liên quan, có quan hệ với ai, cái gì
relation	mối quan hệ, sự liên quan, liên lạc
relationship	 mối quan hệ, mối liên lạc
relative	/'relətiv/  có liên quan đến; người có họ, đại từ quan hệ
relatively	có liên quan, có quan hệ
relax	giải trí, nghỉ ngơi
relaxed	thanh thản, thoải mái
relaxing	làm giảm, bớt căng thẳng
release	/ri'li:s/ làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát khỏi, sự thả, phóng thích, sự phát hành
relevant	thích hợp, có liên quan
relief	sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù
religion	 tôn giáo
religious	(thuộc) tôn giáo
rely	/ri´lai/ tin vào, tin cậy, tin tưởng vào
remain	còn lại, vẫn còn như cũ
remaining	còn lại
remains	đồ thừa, cái còn lại
remark	/ri'mɑ:k/ sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê  bình, để ý, chú ý
remarkable	đáng chú ý, đáng để ý; khác thường
remarkably	đáng chú ý, đáng để ý; khác thường
remember	 nhớ, nhớ lại
remind	nhắc nhở, gợi nhớ
remote	xa, xa xôi, xa cách
removal	viêc di chuyển, việc dọn nhà, dời đi
remove	dời đi, di chuyển
rent	/rent/ sự thuê mướn; cho thuê, thuê
rented	được thuê, được mướn
repair	/ri'peə/ sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeat	/ri'pi:t/ nhắc lại, lặp lại
repeated	được nhắc lại, được lặp lại
repeatedly	lặp đi lặp lại nhiều lần
replace	thay thế
reply	/ri'plai/ sự trả lời, sự hồi âm; trả lời, hồi âm
report	/ri'pɔ:t/ báo cáo, tường trình; bản báo cáo, bản tường trình
represent	miêu tả, hình dung; đại diện, thay mặt
representative	/,repri'zentətiv/ điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	/ri'kwest/ lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
require	đòi hỏi, yêu cầu, quy định
requirement	 nhu cầu, sự đòi hỏi; luật lệ, thủ tục
rescue	/´reskju:/ giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	/ri'zЗ:v/ dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước
resident	/'rezidənt/ người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resist	chống lại, phản đổi, kháng cự
resistance	sự chống lại, sự phản đối, sự kháng cự
resolve	quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khăn..)
resort	kế sách, phương kế
resource	tài nguyên; kế sách, thủ đoạn
respect	/riˈspekt/ sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
rest	/rest / sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
restaurant	nhà hàng ăn, hiệu ăn
restore	hoàn lại, trả lại; sửa chữa lại, phục hồi lại
restrict	hạn chế, giới hạn
restricted	bị hạn chế, có giới hạn; vùng cấm
restriction	sự hạn chế, sự giới hạn
result	/ri'zʌlt/ kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retire	/ rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
return	/ri'tə:n/ trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse	/ri'və:s/ đảo, ngược lại; điều trái ngược, mặt trái
review	/ri´vju:/ sự xem lại, sự xét lại; làm lại, xem xét lại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	/ri'wɔ:d/ sự thưởng, phần thưởng; thưởng, thưởng công
rhythm	nhịp điệu
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
rid	 giải thoát (get rid of : tống khứ)
ride	/raid/ đi, cưỡi (ngựa); sự đi, đường đi
rider	người cưỡi ngựa, người đi xe đạp
ridiculous	buồn cười, lố bịch, lố lăng
riding	môn thể thao cưỡi ngựa, sự đi xe (bus, điện, xe đạp)
